Date,Time of Day,Activity Type,Distance (mi),Temperature (°F),Activity Name,Comment,Private Notes
2018-02-25,11:03 PM,Virtual Ride,4.41,,Afternoon Activity,,
2018-02-27,12:37 AM,Virtual Ride,3.29,,Zwift,,
2018-02-28,11:27 PM,Virtual Ride,8.18,,Zwift,,
2018-03-02,11:26 PM,Virtual Ride,15.15,,Watopia,"First mountain attempt. Effort expended was perhaps 80% to 90%. I had more juice at the end, but I just wanted to hit 15 miles and get a time elapse. Could have done faster, but the climbs were definitely not easy.",
2018-03-04,12:08 AM,Virtual Ride,5.02,,Watopia dad,,
2018-03-05,12:26 AM,Virtual Ride,9.11,,Watopia Mountain Pass,"Got to the peak, turned left (auto), only to discover another peak at 15.4% grade. Couldn't make it up, bike gears were skipping. Need to shift.",
2018-03-10,01:23 AM,Virtual Ride,5.59,,Rouvy - FTP Test,,
2018-03-11,01:52 AM,Virtual Ride,6.63,,Rouvy - Genova - Savona,,
2018-03-11,02:52 AM,Virtual Ride,2.21,,Rouvy - 2018 ROAD CYCLING WORLD CHAMPIONSHIP - Men Road Race,,
2018-03-11,05:42 PM,Virtual Ride,10.37,,Rouvy - FTP Test,,
2018-03-14,11:28 PM,Virtual Ride,11.17,,Rouvy - FTP Test,,
2018-03-17,06:37 PM,Virtual Ride,7.65,,Rouvy - Taos Ski Valley TT,,
2018-03-18,12:09 AM,Virtual Ride,8.25,,Rouvy - 2016 Vermont Sun Triathlon,,
2018-03-18,09:37 PM,Virtual Ride,2.78,,Rouvy - Les Deux Alpes,,
2018-03-28,09:54 PM,Virtual Ride,5.87,,Road Grand Tours - Pienza,Road Grand Tours - Pienza,
2018-03-29,10:32 PM,Virtual Ride,8.48,,Road Grand Tours - Mont Ventoux,Road Grand Tours - Mont Ventoux,
2018-03-31,03:00 PM,Ride,11.62,,Mount Field,,
2018-03-27,10:00 PM,Virtual Ride,10.51,,"FTP test = 162. trainer road, first",terrible! Just didn't push hard enough. ,
2018-04-01,01:57 PM,Ride,20.15,,Baxter,,
2018-04-05,10:07 PM,Ride,12.09,,Goddard,,
2018-04-12,10:05 PM,Virtual Ride,5.17,,Rouvy - Beer run,,
2018-04-12,10:27 PM,Virtual Ride,0.44,,Rouvy - Les Deux Alpes,,
2018-04-18,10:16 PM,Virtual Ride,13.15,,Rouvy - Aeroport Nice to Eze,,
2018-04-18,11:42 PM,Virtual Ride,0.55,,Rouvy - Aeroport Nice to Eze cool-down,,
2018-04-23,10:04 PM,Virtual Ride,5.49,,Rouvy - Les Deux Alpes,,
2018-05-05,03:00 PM,Ride,4.04,,To Mississippi,"59 degrees or so. Felt hot out, sweated, harder ride than expected :(",
2018-05-13,04:17 PM,Ride,0.07,,Stillwater,,
2018-05-13,06:06 PM,Ride,18.99,,Return from stillwater,,
2018-05-19,02:46 PM,Ride,1.88,,Quick ride to st Thomas,,
2018-05-19,04:08 PM,Ride,2.07,,From st Thomas fast,,
2018-05-20,09:10 PM,Ride,15.46,,u of m,,
2018-05-26,12:44 PM,Ride,33.1,,Walker to bemedj,"paul bunyan state trail. ate 2 bars and drank half a bottle on route up, not that bad. very nice ride, try to ride when sun is not directly above.",
2018-05-26,04:09 PM,Ride,40.79,,Bemedj to walker via Cass lake,"Ran out of water 5 miles in due to eating hot dog and medium sized oreo blizzard at dq. Dumb move. They dehydrated me, and I hadn't consumed enough water on route up. I brought only 1 water bottle because of bike lock taking 2nd bottle position. I should consume 1 bottle per hour, and an energy bar + gel every other hour. Also, save the route to strava using desktop/laptop before heading out. Relying on Google maps bike mode is terrible, since it takes you on dirt paths. ",
2018-06-03,06:54 PM,Virtual Ride,3.31,,Watopia,,
2018-06-22,11:17 PM,Virtual Ride,4.52,,Rouvy - Super Flagstaff Climb,,
2018-07-04,12:52 PM,Ride,27.09,,Mel first ride. Thunderstorm,,
2018-07-07,12:44 PM,Ride,2.05,,To Saint Thomas,,
2018-07-07,05:11 PM,Ride,1.98,,St Thomas return,,
2018-07-14,12:37 PM,Ride,19.88,,Greenway first,,
2018-07-22,08:05 PM,Virtual Ride,16.22,,Watopia,,
2018-08-14,10:13 PM,Virtual Ride,2.82,,Rouvy - Les Deux Alpes,,
2018-08-19,10:27 PM,Virtual Ride,7.92,,Rouvy - Alcudia to Cap Formentor improved,,
2018-09-08,02:37 PM,Ride,24.67,,Bike to stillwater,"Leisurely ride to stillwater, in fall, cold in morning",
2018-09-08,08:51 PM,Ride,24.46,,Afternoon Ride,Return from stillwater,
2018-09-16,04:21 PM,Virtual Ride,0.09,,"Rouvy - Old Stage, Lefthand, Lee Hill Loop",,
2018-09-16,04:24 PM,Virtual Ride,3.6,,Rouvy - Mt. Evans (Park Gate to Summit),,
2018-10-16,07:21 PM,Run,1.3,,Lunch Run,,
2018-10-25,10:08 PM,Virtual Ride,0.01,,Rouvy - Cycleops 30 Minute Climbing Intervals,,
2018-10-25,10:09 PM,Virtual Ride,2.55,,Rouvy - Boi Taull,,
2019-01-08,04:50 PM,Virtual Ride,13.86,,Innsbruck,First time on innsbruck - so fun!,
2019-01-10,08:15 PM,Virtual Ride,14.99,,Watopia,,
2019-01-20,10:43 PM,Virtual Ride,15.54,,Watopia,,
2019-02-03,03:23 PM,Virtual Ride,17.59,,Watopia,,
2019-02-09,08:25 PM,Virtual Ride,5.34,,Watopia,,
2019-02-17,11:38 PM,Virtual Ride,15.09,,Watopia,,
2019-03-03,04:35 PM,Virtual Ride,4.09,,Watopia knee pain,,
2019-03-10,05:52 PM,Virtual Ride,9.51,,Watopia,,
2019-04-28,03:14 PM,Virtual Ride,13.1,,Watopia,,
2019-08-12,12:43 AM,Virtual Ride,4.73,,Zwift mountain half,,
2019-08-18,11:43 PM,Virtual Run,0.83,,Welcome To Running In Zwift!,,
2019-08-19,10:04 PM,Virtual Run,2.01,,ZWIFT 101: RUNNING - Welcome To Running In Zwift!,,
2019-08-22,09:45 PM,Virtual Run,2.89,,ZWIFT 101: RUNNING - What Is My Body Doing? Tempo!,,
2019-08-25,03:16 PM,Run,4.05,,Promenade du Mississippi,,
2019-08-29,11:40 PM,Virtual Run,1.86,,Watopia,,
2019-09-01,02:15 PM,Run,4.65,,Run across bridge,,
2019-09-05,10:47 PM,Run,0.01,,Afternoon Run,,
2019-09-15,01:26 PM,Run,4.07,,First run in awhile,,
2019-10-27,05:29 PM,Virtual Run,2.15,,London steady pace,,
2020-03-01,05:44 PM,Virtual Ride,5.02,,Watopia,,
2020-03-22,07:15 PM,Virtual Ride,15.13,,covid lockdown ride 1,,
2020-03-26,09:17 PM,Virtual Ride,14.21,,covid lockdown ride 2,,
2020-03-29,05:59 PM,Virtual Ride,15.18,,covid lockdown 3,,
2020-04-03,10:42 PM,Virtual Ride,30.29,,covid day ? big data class,,
2020-04-08,09:12 PM,Virtual Ride,14.18,,covid going for golvid,,
2020-04-12,03:16 PM,Virtual Ride,25.02,,covid first time up big mountain,,
2020-04-19,04:59 PM,Virtual Ride,6.21,,covid first NYC,,
2020-04-20,09:31 PM,Virtual Ride,3.69,,ZWIFT 101: CYCLING - 1. Just The Basics,,
2020-04-22,09:56 PM,Virtual Ride,5.21,,ZWIFT 101: CYCLING - 2. Understanding Threshold,,
2020-04-23,05:07 PM,Virtual Ride,8.02,,ZWIFT 101: CYCLING - 3. Ramp Test (101 Edition),,
2020-04-25,03:40 PM,Virtual Ride,8.74,,ZWIFT 101: CYCLING - 4. Jon's Short Mix (101 Edition),,
2020-04-30,04:59 PM,Virtual Ride,6.06,,Vault,,
2020-05-10,05:51 PM,Virtual Ride,18.72,,Watopia. top 1 minute power!,,
